time_s,duty_permille,duty_ratio,encoder_count,delta_count,rpm,rad_per_second,sample_time_s,host_time_s
0,600,0.6,0,0,0,0,0.0499999999999972,1.5736117
0.05,600,0.6,65522,-14,-107.692,-11.277,0.05,1.6216088
0.1,600,0.6,65499,-23,-176.923,-18.527,0.05,1.6992907
0.15,600,0.6,65476,-23,-176.923,-18.527,0.05,1.726388
0.2,600,0.6,65452,-24,-184.615,-19.332,0.05,1.7756748
0.25,600,0.6,65429,-23,-176.923,-18.527,0.05,1.8196121
0.3,600,0.6,65406,-23,-176.923,-18.527,0.05,1.8697843
0.35,600,0.6,65382,-24,-184.615,-19.332,0.05,1.9361389
0.4,600,0.6,65359,-23,-176.923,-18.527,0.05,1.966068
0.45,600,0.6,65336,-23,-176.923,-18.527,0.05,2.0220575
0.5,600,0.6,65312,-24,-184.615,-19.332,0.05,2.0941717
0.55,600,0.6,65289,-23,-176.923,-18.527,0.0499999999999999,2.1205349
0.6,600,0.6,65266,-23,-176.923,-18.527,0.05,2.1720302
0.65,600,0.6,65242,-24,-184.615,-19.332,0.05,2.251033
0.7,600,0.6,65218,-24,-184.615,-19.332,0.0499999999999999,2.2752599
0.75,600,0.6,65194,-24,-184.615,-19.332,0.05,2.327251
0.8,600,0.6,65171,-23,-176.923,-18.527,0.0499999999999999,2.3693261
0.85,600,0.6,65147,-24,-184.615,-19.332,0.05,2.4198894
0.9,600,0.6,65124,-23,-176.923,-18.527,0.05,2.4840526
0.95,600,0.6,65100,-24,-184.615,-19.332,0.0499999999999999,2.5198326
1,600,0.6,65077,-23,-176.923,-18.527,0.05,2.5809666
1.05,600,0.6,65053,-24,-184.615,-19.332,0.05,2.6387284
1.1,600,0.6,65030,-23,-176.923,-18.527,0.05,2.6730643
1.15,600,0.6,65006,-24,-184.615,-19.332,0.0499999999999998,2.720514
1.2,600,0.6,64983,-23,-176.923,-18.527,0.05,2.7940799
1.25,600,0.6,64960,-23,-176.923,-18.527,0.05,2.8298861
1.3,600,0.6,64936,-24,-184.615,-19.332,0.05,2.8773237
1.35,600,0.6,64912,-24,-184.615,-19.332,0.05,2.9513058
1.4,600,0.6,64889,-23,-176.923,-18.527,0.0499999999999998,2.9654602
1.45,600,0.6,64866,-23,-176.923,-18.527,0.05,3.0317209
1.5,600,0.6,64842,-24,-184.615,-19.332,0.05,3.0741377
1.55,600,0.6,64818,-24,-184.615,-19.332,0.05,3.1206624
1.6,600,0.6,64794,-24,-184.615,-19.332,0.05,3.1855938
1.65,600,0.6,64771,-23,-176.923,-18.527,0.0499999999999998,3.2262442
1.7,600,0.6,64747,-24,-184.615,-19.332,0.05,3.2722684
1.75,600,0.6,64724,-23,-176.923,-18.527,0.05,3.3385312
1.8,600,0.6,64700,-24,-184.615,-19.332,0.05,3.3663685
1.85,600,0.6,64676,-24,-184.615,-19.332,0.05,3.4283582
1.9,600,0.6,64653,-23,-176.923,-18.527,0.0499999999999998,3.4996041
1.95,600,0.6,64629,-24,-184.615,-19.332,0.05,3.5209552
2,600,0.6,64606,-23,-176.923,-18.527,0.0499999999999998,3.576618
2.05,600,0.6,64582,-24,-184.615,-19.332,0.0500000000000005,3.6564188
2.1,600,0.6,64558,-24,-184.615,-19.332,0.0499999999999998,3.6768805
2.15,600,0.6,64535,-23,-176.923,-18.527,0.0500000000000003,3.7304131
2.2,600,0.6,64512,-23,-176.923,-18.527,0.0499999999999998,3.8059107
2.25,600,0.6,64488,-24,-184.615,-19.332,0.0500000000000003,3.8284
2.3,600,0.6,64464,-24,-184.615,-19.332,0.0499999999999998,3.8809711
2.35,600,0.6,64441,-23,-176.923,-18.527,0.0499999999999998,3.9262152
2.4,600,0.6,64418,-23,-176.923,-18.527,0.0500000000000003,3.9665064
2.45,600,0.6,64394,-24,-184.615,-19.332,0.0499999999999998,4.0359383
2.5,600,0.6,64370,-24,-184.615,-19.332,0.0500000000000003,4.067177
2.55,600,0.6,64346,-24,-184.615,-19.332,0.0499999999999998,4.1295605
2.6,600,0.6,64323,-23,-176.923,-18.527,0.0499999999999998,4.1947237
2.65,600,0.6,64299,-24,-184.615,-19.332,0.0500000000000003,4.2242324
2.7,600,0.6,64276,-23,-176.923,-18.527,0.0499999999999998,4.3734805
2.75,600,0.6,64252,-24,-184.615,-19.332,0.0500000000000003,4.3738062
2.8,600,0.6,64228,-24,-184.615,-19.332,0.0499999999999998,4.3808789
2.85,600,0.6,64205,-23,-176.923,-18.527,0.0499999999999998,4.480929
2.9,600,0.6,64182,-23,-176.923,-18.527,0.0500000000000003,4.4812817
2.95,600,0.6,64158,-24,-184.615,-19.332,0.0499999999999998,4.5194394
3,600,0.6,64134,-24,-184.615,-19.332,0.0500000000000003,4.6054028
3.05,600,0.6,64111,-23,-176.923,-18.527,0.0499999999999998,4.622622
3.1,600,0.6,64088,-23,-176.923,-18.527,0.0499999999999998,4.6886331
3.15,600,0.6,64064,-24,-184.615,-19.332,0.0500000000000003,4.7302297
3.2,600,0.6,64040,-24,-184.615,-19.332,0.0499999999999998,4.7750556
3.25,600,0.6,64017,-23,-176.923,-18.527,0.0500000000000003,4.8206425
3.3,600,0.6,63993,-24,-184.615,-19.332,0.0499999999999998,4.8777467
3.35,600,0.6,63969,-24,-184.615,-19.332,0.0499999999999998,4.9774684
3.4,600,0.6,63946,-23,-176.923,-18.527,0.0500000000000003,4.9780728
3.45,600,0.6,63922,-24,-184.615,-19.332,0.0499999999999998,5.0229414
3.5,600,0.6,63898,-24,-184.615,-19.332,0.0500000000000003,5.0703602
3.55,600,0.6,63874,-24,-184.615,-19.332,0.0499999999999998,5.1499423
3.6,600,0.6,63851,-23,-176.923,-18.527,0.0499999999999998,5.1792038
3.65,600,0.6,63827,-24,-184.615,-19.332,0.0500000000000003,5.2425041
