time_s,duty_permille,duty_ratio,encoder_count,delta_count,speed_ref_rad_s,speed_meas_rad_s,speed_error_rad_s,position_ref_rad,position_meas_rad,position_error_rad,sample_time_s,host_time_s
0,200,0.2,0,0,0,0,0,0,0,0,0.0999999999999996,1.0867926
0.1,-849,-0.849,9,9,-0.173,1.449,-1.622,0,0.144,-0.144,0.1,1.1858453
0.2,651,0.651,65492,-53,0.85,-8.538,9.388,0,-0.708,0.708,0.1,1.298575
0.3,-743,-0.743,65522,30,0.27,4.833,-4.563,0,-0.225,0.225,0.1,1.4124488
0.4,443,0.443,65483,-39,1.024,-6.283,7.307,0,-0.853,0.853,0.1,1.5250928
0.5,-491,-0.491,65500,17,0.695,2.738,-2.043,0,-0.579,0.579,0.1,1.625661
0.6,233,0.233,65475,-25,1.179,-4.027,5.206,0,-0.982,0.982,0.1,1.7385958
0.7,-392,-0.392,65483,8,1.024,1.288,-0.264,0,-0.853,0.853,0.1,1.8373405
0.8,132,0.132,65461,-22,1.449,-3.544,4.993,0,-1.208,1.208,0.1,1.884465
0.9,285,0.285,65460,-1,1.469,-0.161,1.63,0,-1.224,1.224,0.1,1.9852286
1,-300,-0.3,65474,14,1.198,2.255,-1.057,0,-0.998,0.998,0.1,2.0839971
1.1,178,0.178,65460,-14,1.469,-2.255,3.724,0,-1.224,1.224,0.0999999999999999,2.1931271
1.2,321,0.321,65461,1,1.449,0.161,1.288,0,-1.208,1.208,0.1,2.2952822
1.3,-454,-0.454,65478,17,1.121,2.738,-1.617,0,-0.934,0.934,0.1,2.3958808
1.4,252,0.252,65454,-24,1.585,-3.866,5.451,0,-1.321,1.321,0.0999999999999999,2.4937768
1.5,-308,-0.308,65463,9,1.411,1.449,-0.038,0,-1.176,1.176,0.1,2.5966444
1.6,107,0.107,65448,-15,1.701,-2.416,4.117,0,-1.417,1.417,0.0999999999999999,2.6962082
1.7,231,0.231,65450,2,1.662,0.322,1.34,0,-1.385,1.385,0.1,2.7935572
1.8,-31,-0.031,65461,11,1.449,1.772,-0.323,0,-1.208,1.208,0.1,2.893825
1.9,653,0.653,65460,-1,1.469,-0.161,1.63,0,-1.224,1.224,0.0999999999999999,2.9903325
2,-84,-0.084,65500,40,0.695,6.444,-5.749,0,-0.579,0.579,0.1,3.0975243
2.1,624,0.624,65502,2,0.657,0.322,0.335,0,-0.547,0.547,0.1,3.196424
