time_s,duty_permille,duty_ratio,encoder_count,delta_count,speed_ref,speed_meas,speed_error,sample_time_s,host_time_s
0,200,0.2,0,0,0,0,0,0.100000000000001,0.5677815
0.1,154,0.154,7,7,0,1.127,-1.127,0.1,0.6752627
0.2,146,0.146,10,3,0,0.483,-0.483,0.1,0.7696823
0.3,151,0.151,10,0,0,0,0,0.1,0.8781984
0.4,151,0.151,10,0,0,0,0,0.1,0.9734086
0.5,151,0.151,10,0,0,0,0,0.1,1.0677811
0.6,151,0.151,10,0,0,0,0,0.1,1.1784447
0.7,151,0.151,10,0,0,0,0,0.1,1.2713528
0.8,151,0.151,10,0,0,0,0,0.1,1.3656684
0.9,151,0.151,10,0,0,0,0,0.1,1.4770568
1,151,0.151,10,0,0,0,0,0.1,1.5722287
1.1,151,0.151,10,0,0,0,0,0.0999999999999999,1.6678866
1.2,151,0.151,10,0,0,0,0,0.1,1.7787437
1.3,151,0.151,10,0,0,0,0,0.1,1.8711486
1.4,151,0.151,10,0,0,0,0,0.0999999999999999,1.9655967
1.5,151,0.151,10,0,0,0,0,0.1,2.0775908
1.6,151,0.151,10,0,0,0,0,0.0999999999999999,2.1728552
1.7,151,0.151,10,0,0,0,0,0.1,2.2683347
1.8,151,0.151,10,0,0,0,0,0.1,2.3771425
1.9,151,0.151,10,0,0,0,0,0.0999999999999999,2.4729355
2,151,0.151,10,0,0,0,0,0.1,2.5673816
2.1,151,0.151,10,0,0,0,0,0.1,2.6772331
2.2,151,0.151,10,0,0,0,0,0.1,2.7728123
2.3,151,0.151,10,0,0,0,0,0.0999999999999996,2.8672201
2.4,151,0.151,10,0,0,0,0,0.1,2.9785224
2.5,151,0.151,10,0,0,0,0,0.1,3.073385
2.6,151,0.151,10,0,0,0,0,0.1,3.1688194
2.7,151,0.151,10,0,0,0,0,0.1,3.2645199
2.8,151,0.151,10,0,0,0,0,0.0999999999999996,3.3731926
2.9,151,0.151,10,0,0,0,0,0.1,3.4673281
3,151,0.151,10,0,0,0,0,0.1,3.5749801
3.1,151,0.151,10,0,0,0,0,0.1,3.6703519
3.2,151,0.151,10,0,0,0,0,0.1,3.7651891
3.3,151,0.151,10,0,0,0,0,0.0999999999999996,3.8750165
3.4,151,0.151,10,0,0,0,0,0.1,3.9690798
3.5,151,0.151,10,0,0,0,0,0.1,4.0641032
3.6,151,0.151,10,0,0,0,0,0.1,4.1747111
3.7,151,0.151,10,0,0,0,0,0.1,4.266514
3.8,151,0.151,10,0,0,0,0,0.0999999999999996,4.3786165
3.9,351,0.351,10,0,5,0,5,0.1,4.4726087
4,385,0.385,28,18,5,2.899,2.101,0.0999999999999996,4.5671006
4.1,397,0.397,54,26,5,4.188,0.812,0.100000000000001,4.6764525
4.2,415,0.415,81,27,5,4.349,0.651,0.0999999999999996,4.7715767
4.3,415,0.415,111,30,5,4.833,0.167,0.100000000000001,4.8671667
4.4,426,0.426,140,29,5,4.672,0.328,0.0999999999999996,4.9772868
4.5,430,0.43,170,30,5,4.833,0.167,0.100000000000001,5.071836
4.6,422,0.422,202,32,5,5.155,-0.155,0.0999999999999996,5.1783313
4.7,430,0.43,232,30,5,4.833,0.167,0.0999999999999996,5.2728911
4.8,435,0.435,262,30,5,4.833,0.167,0.100000000000001,5.3669363
4.9,427,0.427,294,32,5,5.155,-0.155,0.0999999999999996,5.4768739
5,422,0.422,326,32,5,5.155,-0.155,0.100000000000001,5.5712704
5.1,431,0.431,356,30,5,4.833,0.167,0.0999999999999996,5.6662996
5.2,429,0.429,387,31,5,4.994,0.00600000000000023,0.0999999999999996,5.7768468
5.3,429,0.429,418,31,5,4.994,0.00600000000000023,0.100000000000001,5.8714097
5.4,436,0.436,448,30,5,4.833,0.167,0.0999999999999996,5.9658922
5.5,428,0.428,480,32,5,5.155,-0.155,0.100000000000001,6.0775985
5.6,430,0.43,511,31,5,4.994,0.00600000000000023,0.0999999999999996,6.1730498
5.7,430,0.43,542,31,5,4.994,0.00600000000000023,0.0999999999999996,6.2697891
5.8,430,0.43,573,31,5,4.994,0.00600000000000023,0.100000000000001,6.3649916
5.9,430,0.43,604,31,5,4.994,0.00600000000000023,0.0999999999999996,6.4747802
6,437,0.437,634,30,5,4.833,0.167,0.100000000000001,6.5701594
6.1,423,0.423,667,33,5,5.316,-0.316,0.0999999999999996,6.6653931
6.2,426,0.426,698,31,5,4.994,0.00600000000000023,0.0999999999999996,6.7748161
6.3,433,0.433,728,30,5,4.833,0.167,0.100000000000001,6.8695198
6.4,425,0.425,760,32,5,5.155,-0.155,0.0999999999999996,6.9800542
6.5,426,0.426,791,31,5,4.994,0.00600000000000023,0.100000000000001,7.0754475
6.6,433,0.433,821,30,5,4.833,0.167,0.0999999999999996,7.1700855
6.7,432,0.432,852,31,5,4.994,0.00600000000000023,0.0999999999999996,7.2687382
6.8,632,0.632,883,31,10,4.994,5.006,0.100000000000001,7.3754607
6.9,685,0.685,929,46,10,7.41,2.59,0.0999999999999996,7.4700402
7,718,0.718,982,53,10,8.538,1.462,0.100000000000001,7.5655916
7.1,742,0.742,1038,56,10,9.022,0.978,0.0999999999999996,7.6758262
7.2,752,0.752,1097,59,10,9.505,0.494999999999999,0.0999999999999996,7.7692507
7.3,761,0.761,1157,60,10,9.666,0.334,0.100000000000001,7.8785612
7.4,764,0.764,1218,61,10,9.827,0.173,0.0999999999999996,7.9712907
7.5,770,0.77,1279,61,10,9.827,0.173,0.100000000000001,8.0667794
7.6,775,0.775,1340,61,10,9.827,0.173,0.0999999999999996,8.1781578
7.7,773,0.773,1402,62,10,9.988,0.0120000000000005,0.0999999999999996,8.2732623
7.8,774,0.774,1464,62,10,9.988,0.0120000000000005,0.100000000000001,8.3687902
7.9,768,0.768,1527,63,10,10.149,-0.148999999999999,0.0999999999999996,8.4793374
8,776,0.776,1588,61,10,9.827,0.173,0.0999999999999996,8.5739959
8.1,775,0.775,1650,62,10,9.988,0.0120000000000005,0.0999999999999996,8.6665615
8.2,775,0.775,1712,62,10,9.988,0.0120000000000005,0.100000000000001,8.7766064
8.3,769,0.769,1775,63,10,10.149,-0.148999999999999,0.0999999999999996,8.8707022
8.4,777,0.777,1836,61,10,9.827,0.173,0.0999999999999996,8.9797924
8.5,770,0.77,1899,63,10,10.149,-0.148999999999999,0.0999999999999996,9.0742991
8.6,778,0.778,1960,61,10,9.827,0.173,0.100000000000001,9.1683414
8.7,770,0.77,2023,63,10,10.149,-0.148999999999999,0.0999999999999996,9.2788113
8.8,779,0.779,2084,61,10,9.827,0.173,0.0999999999999996,9.3731975
8.9,771,0.771,2147,63,10,10.149,-0.148999999999999,0.0999999999999996,9.4672395
9,773,0.773,2209,62,10,9.988,0.0120000000000005,0.0999999999999996,9.5757216
