time_s,dt_ms,sample_time_s,speed_ref_rad_s,speed_meas_rad_s,speed_error_rad_s,position_ref_rad,position_ref_filtered_rad,position_meas_rad,position_error_rad,position_filtered_error_rad,duty_cycle,host_time_s
0,51,0.051,0,0,0,0,0,0,0,0,0,0.0169547
1.0612167,51,0.051,0,0,0,0,0,0,0,0,0,1.0781714
1.065084,51,0.051,0,0,0,0,0,0,0,0,0,1.0820387
1.0671252,51,0.051,0,0,0,0,0,0,0,0,0,1.0840799
1.0770399,51,0.051,0,0,0,0,0,0,0,0,0,1.0939946
1.0797339,51,0.051,0,0,0,0,0,0,0,0,0,1.0966886
1.0818597,0,0,0,0,0,0,0,0,0,0,0,1.0988144
1.0824772,51,0.051,0,0,0,0,0,0,0,0,0,1.0994319
1.0827659,51,0.051,0,0,0,0,0,0,0,0,0,1.0997206
1.0830129,51,0.051,0,0,0,0,0,0,0,0,0,1.0999676
1.0832535,51,0.051,0,0,0,0,0,0,0,0,0,1.1002082
1.0834923,51,0.051,0,0,0,0,0,0,0,0,0,1.100447
1.0837665,51,0.051,0,0,0,0,0,0,0,0,0,1.1007212
1.0840077,51,0.051,0,0,0,0,0,0,0,0,0,1.1009624
1.0842442,51,0.051,0,0,0,0,0,0,0,0,0,1.1011989
1.084481,51,0.051,0,0,0,0,0,0,0,0,0,1.1014357
1.0847491,51,0.051,0,0,0,0,0,0,0,0,0,1.1017038
1.0849922,51,0.051,0,0,0,0,0,0,0,0,0,1.1019469
1.0860346,51,0.051,0,0,0,0,0,0,0,0,0,1.1029893
1.0941579,51,0.051,0,0,0,0,0,0,0,0,0,1.1111126
1.0948433,51,0.051,0,0,0,0,0,0,0,0,0,1.111798
1.0952622,51,0.051,0,0,0,0,0,0,0,0,0,1.1122169
1.0955918,51,0.051,0,0,0,0,0,0,0,0,0,1.1125465
1.0958704,51,0.051,0,0,0,0,0,0,0,0,0,1.1128251
1.0961324,51,0.051,0,0,0,0,0,0,0,0,0,1.1130871
1.0963943,51,0.051,0,0,0,0,0,0,0,0,0,1.113349
1.0969213,51,0.051,0,0,0,0,0,0,0,0,0,1.113876
1.0971855,51,0.051,0,0,0,0,0,0,0,0,0,1.1141402
1.0974555,51,0.051,0,0,0,0,0,0,0,0,0,1.1144102
1.097931,51,0.051,0,0,0,0,0,0,0,0,0,1.1148857
1.0982595,51,0.051,0,0,0,0,0,0,0,0,0,1.1152142
1.0985298,51,0.051,0,0,0,0,0,0,0,0,0,1.1154845
1.0987844,51,0.051,0,0,0,0,0,0,0,0,0,1.1157391
1.0990363,51,0.051,0,0,0,0,0,0,0,0,0,1.115991
1.0992992,51,0.051,0,0,0,0,0,0,0,0,0,1.1162539
